key,value,unit
file_name,12_u1_100_p.wav,
label,12_u1_100_p,
file_path,/home/milsonson/ai转速/recordings/12_u1_100_p.wav,
sample_rate,44100.000,Hz
analysis_sample_rate,8820.000,Hz
decimate_k,5,
decimate_ratio,0.200000,
channels,2,
sample_format,int16,
frames,892582,samples
duration,20.239955,s
center_duration,8.000000,s
export_slices,yes,
split_window_size,1.000000,s
split_hop_size,0.500000,s
split_window_count,15,
split_window_samples,8820,samples
analysis_frames,70560,samples
analysis_duration,8.000000,s
analysis_start_s,6.119955,s
analysis_end_s,14.119955,s
channel_mode,mean,
channel_selected,mean,
channel_rms,"7101.023,12675.204",
channel_corr_lr,-0.898,
mean_amplitude,-0.000002,
rms_amplitude,0.260892,
peak_amplitude,0.856152,
crest_factor,3.281639,
crest_factor_db,10.322,dB
dominant_freq,3000.000,Hz
spectral_centroid,1436.955,Hz
spectral_bandwidth,1388.758,Hz
inst_freq_mean,2980.926,Hz
inst_freq_median,2999.090,Hz
envelope_peak_freq,2.750,Hz
envelope_peak_period,0.364,s
envelope_peak_db,-36.486,dB
envelope_cutoff,20.000,Hz
envelope_max_freq,50.000,Hz
envelope_detrend_cutoff,1.000,Hz
envelope_detrend_applied,yes,
envelope_norm_mode,detrended-max,
envelope_norm_scale,742.672119,
bandpass_enabled,yes,
