label,3_c_220_p
time_s,envelope_detrended
0.000000000,0.107124
0.000113379,0.106159
0.000226757,0.105187
0.000340136,0.104207
0.000453515,0.103220
0.000566893,0.102226
0.000680272,0.101225
0.000793651,0.100216
0.000907029,0.099201
0.001020408,0.098178
0.001133787,0.097149
0.001247166,0.096112
0.001360544,0.095069
0.001473923,0.094019
0.001587302,0.092962
0.001700680,0.091898
0.001814059,0.090827
0.001927438,0.089750
0.002040816,0.088666
0.002154195,0.087575
0.002267574,0.086478
0.002380952,0.085375
0.002494331,0.084265
0.002607710,0.083149
0.002721088,0.082027
0.002834467,0.080899
0.002947846,0.079764
0.003061224,0.078623
0.003174603,0.077477
0.003287982,0.076324
0.003401361,0.075166
0.003514739,0.074002
0.003628118,0.072832
0.003741497,0.071656
0.003854875,0.070475
0.003968254,0.069288
0.004081633,0.068097
0.004195011,0.066899
0.004308390,0.065697
0.004421769,0.064489
0.004535147,0.063276
0.004648526,0.062058
0.004761905,0.060835
0.004875283,0.059607
0.004988662,0.058374
0.005102041,0.057137
0.005215420,0.055895
0.005328798,0.054648
0.005442177,0.053397
0.005555556,0.052142
0.005668934,0.050882
0.005782313,0.049618
0.005895692,0.048349
0.006009070,0.047077
0.006122449,0.045800
0.006235828,0.044520
0.006349206,0.043236
0.006462585,0.041948
0.006575964,0.040657
0.006689342,0.039362
0.006802721,0.038063
0.006916100,0.036761
0.007029478,0.035456
0.007142857,0.034147
0.007256236,0.032836
0.007369615,0.031521
0.007482993,0.030203
0.007596372,0.028883
0.007709751,0.027560
0.007823129,0.026234
0.007936508,0.024906
0.008049887,0.023575
0.008163265,0.022242
0.008276644,0.020907
0.008390023,0.019569
0.008503401,0.018230
0.008616780,0.016888
0.008730159,0.015545
0.008843537,0.014200
0.008956916,0.012854
0.009070295,0.011505
0.009183673,0.010156
0.009297052,0.008805
0.009410431,0.007453
0.009523810,0.006100
0.009637188,0.004746
0.009750567,0.003391
0.009863946,0.002035
0.009977324,0.000678
0.010090703,-0.000679
0.010204082,-0.002037
0.010317460,-0.003396
0.010430839,-0.004754
0.010544218,-0.006113
0.010657596,-0.007472
0.010770975,-0.008831
0.010884354,-0.010190
0.010997732,-0.011549
0.011111111,-0.012908
0.011224490,-0.014266
0.011337868,-0.015624
0.011451247,-0.016981
0.011564626,-0.018338
0.011678005,-0.019694
0.011791383,-0.021049
0.011904762,-0.022402
0.012018141,-0.023755
0.012131519,-0.025107
0.012244898,-0.026457
0.012358277,-0.027806
0.012471655,-0.029154
0.012585034,-0.030499
0.012698413,-0.031843
0.012811791,-0.033185
0.012925170,-0.034525
0.013038549,-0.035864
0.013151927,-0.037199
0.013265306,-0.038533
0.013378685,-0.039864
0.013492063,-0.041193
0.013605442,-0.042519
0.013718821,-0.043842
0.013832200,-0.045162
0.013945578,-0.046480
0.014058957,-0.047794
0.014172336,-0.049105
0.014285714,-0.050413
0.014399093,-0.051717
0.014512472,-0.053018
0.014625850,-0.054315
0.014739229,-0.055608
0.014852608,-0.056898
0.014965986,-0.058183
0.015079365,-0.059465
0.015192744,-0.060742
0.015306122,-0.062014
0.015419501,-0.063283
0.015532880,-0.064547
0.015646259,-0.065806
0.015759637,-0.067060
0.015873016,-0.068309
0.015986395,-0.069554
0.016099773,-0.070793
0.016213152,-0.072027
0.016326531,-0.073256
0.016439909,-0.074479
0.016553288,-0.075697
0.016666667,-0.076909
0.016780045,-0.078116
0.016893424,-0.079316
0.017006803,-0.080511
0.017120181,-0.081700
0.017233560,-0.082882
0.017346939,-0.084058
0.017460317,-0.085228
0.017573696,-0.086391
0.017687075,-0.087548
0.017800454,-0.088697
0.017913832,-0.089840
0.018027211,-0.090976
0.018140590,-0.092104
0.018253968,-0.093226
0.018367347,-0.094340
0.018480726,-0.095446
0.018594104,-0.096545
0.018707483,-0.097637
0.018820862,-0.098720
0.018934240,-0.099795
0.019047619,-0.100863
0.019160998,-0.101922
0.019274376,-0.102973
0.019387755,-0.104016
0.019501134,-0.105050
0.019614512,-0.106075
0.019727891,-0.107092
0.019841270,-0.108100
0.019954649,-0.109099
0.020068027,-0.110089
0.020181406,-0.111069
0.020294785,-0.112041
0.020408163,-0.113003
0.020521542,-0.113956
0.020634921,-0.114899
0.020748299,-0.115832
0.020861678,-0.116756
0.020975057,-0.117670
0.021088435,-0.118574
0.021201814,-0.119467
0.021315193,-0.120351
0.021428571,-0.121224
0.021541950,-0.122087
0.021655329,-0.122939
0.021768707,-0.123781
0.021882086,-0.124612
0.021995465,-0.125432
0.022108844,-0.126242
0.022222222,-0.127040
0.022335601,-0.127828
0.022448980,-0.128604
0.022562358,-0.129369
