label,3_u1_100_p
time_s,envelope
0.000000000,1.406024
0.000113379,1.406102
0.000226757,1.406177
0.000340136,1.406249
0.000453515,1.406318
0.000566893,1.406384
0.000680272,1.406447
0.000793651,1.406508
0.000907029,1.406565
0.001020408,1.406620
0.001133787,1.406672
0.001247166,1.406721
0.001360544,1.406768
0.001473923,1.406812
0.001587302,1.406853
0.001700680,1.406892
0.001814059,1.406929
0.001927438,1.406963
0.002040816,1.406994
0.002154195,1.407023
0.002267574,1.407050
0.002380952,1.407075
0.002494331,1.407097
0.002607710,1.407117
0.002721088,1.407135
0.002834467,1.407150
0.002947846,1.407164
0.003061224,1.407175
0.003174603,1.407185
0.003287982,1.407192
0.003401361,1.407198
0.003514739,1.407201
0.003628118,1.407203
0.003741497,1.407202
0.003854875,1.407200
0.003968254,1.407196
0.004081633,1.407190
0.004195011,1.407182
0.004308390,1.407173
0.004421769,1.407161
0.004535147,1.407148
0.004648526,1.407134
0.004761905,1.407117
0.004875283,1.407099
0.004988662,1.407080
0.005102041,1.407059
0.005215420,1.407036
0.005328798,1.407012
0.005442177,1.406986
0.005555556,1.406958
0.005668934,1.406929
0.005782313,1.406899
0.005895692,1.406867
0.006009070,1.406834
0.006122449,1.406799
0.006235828,1.406763
0.006349206,1.406726
0.006462585,1.406687
0.006575964,1.406647
0.006689342,1.406605
0.006802721,1.406563
0.006916100,1.406518
0.007029478,1.406473
0.007142857,1.406426
0.007256236,1.406378
0.007369615,1.406329
0.007482993,1.406279
0.007596372,1.406227
0.007709751,1.406174
0.007823129,1.406120
0.007936508,1.406065
0.008049887,1.406008
0.008163265,1.405951
0.008276644,1.405892
0.008390023,1.405832
0.008503401,1.405771
0.008616780,1.405709
0.008730159,1.405646
0.008843537,1.405581
0.008956916,1.405516
0.009070295,1.405449
0.009183673,1.405381
0.009297052,1.405313
0.009410431,1.405243
0.009523810,1.405172
0.009637188,1.405099
0.009750567,1.405026
0.009863946,1.404952
0.009977324,1.404876
0.010090703,1.404799
0.010204082,1.404722
0.010317460,1.404643
0.010430839,1.404563
0.010544218,1.404482
0.010657596,1.404399
0.010770975,1.404316
0.010884354,1.404231
0.010997732,1.404146
0.011111111,1.404059
0.011224490,1.403971
