label,3_u1_200_p
time_s,raw
0.000000000,1418.000000
0.000113379,621.500000
0.000226757,-1697.000000
0.000340136,1301.500000
0.000453515,-196.000000
0.000566893,-1809.000000
0.000680272,1695.000000
0.000793651,135.500000
0.000907029,-1308.000000
0.001020408,1808.000000
0.001133787,-360.500000
0.001247166,-1592.000000
0.001360544,1853.500000
0.001473923,-665.500000
0.001587302,-1294.500000
0.001700680,1681.000000
0.001814059,-1120.000000
0.001927438,-1308.000000
0.002040816,1894.000000
0.002154195,-1082.000000
0.002267574,-828.500000
0.002380952,2125.500000
0.002494331,-1510.500000
0.002607710,-598.000000
0.002721088,1954.500000
0.002834467,-1417.500000
0.002947846,104.000000
0.003061224,2172.000000
0.003174603,-1562.000000
0.003287982,-169.000000
0.003401361,1333.000000
0.003514739,-2087.000000
0.003628118,-61.500000
0.003741497,1646.500000
0.003854875,-1926.500000
0.003968254,501.500000
0.004081633,1242.500000
0.004195011,-2269.000000
0.004308390,584.500000
0.004421769,1294.000000
0.004535147,-1830.500000
0.004648526,1443.000000
0.004761905,1255.500000
0.004875283,-2013.000000
0.004988662,1145.000000
0.005102041,651.000000
0.005215420,-2014.500000
0.005328798,1735.500000
0.005442177,763.500000
0.005555556,-1781.000000
0.005668934,1496.000000
0.005782313,127.000000
0.005895692,-2111.500000
0.006009070,1849.000000
0.006122449,-76.000000
0.006235828,-1810.000000
0.006349206,1994.000000
0.006462585,-591.500000
0.006575964,-1851.500000
0.006689342,2122.500000
0.006802721,-574.500000
0.006916100,-1407.500000
0.007029478,2393.000000
0.007142857,-894.500000
0.007256236,-1044.500000
0.007369615,2651.000000
0.007482993,-946.500000
0.007596372,-530.000000
0.007709751,2220.000000
0.007823129,-1572.000000
0.007936508,-800.500000
0.008049887,2232.500000
0.008163265,-1650.000000
0.008276644,-221.500000
0.008390023,1887.500000
0.008503401,-2126.000000
0.008616780,-517.500000
0.008730159,1640.000000
0.008843537,-2209.500000
0.008956916,271.500000
0.009070295,1722.000000
0.009183673,-2221.500000
0.009297052,367.500000
0.009410431,1522.000000
0.009523810,-2140.500000
0.009637188,1142.000000
0.009750567,1612.500000
0.009863946,-2019.500000
0.009977324,1217.000000
0.010090703,1172.000000
0.010204082,-2186.000000
0.010317460,1376.500000
0.010430839,632.500000
0.010544218,-2446.000000
0.010657596,1346.000000
0.010770975,464.500000
0.010884354,-2147.000000
0.010997732,1814.000000
0.011111111,68.000000
0.011224490,-2446.000000
0.011337868,1657.000000
0.011451247,-424.500000
0.011564626,-1879.000000
0.011678005,2345.000000
0.011791383,17.000000
0.011904762,-1510.500000
0.012018141,2273.500000
0.012131519,-781.000000
0.012244898,-1609.000000
0.012358277,2552.000000
0.012471655,-800.000000
0.012585034,-1016.500000
0.012698413,2459.000000
0.012811791,-1419.000000
0.012925170,-1299.500000
0.013038549,2270.500000
0.013151927,-1461.500000
0.013265306,-607.500000
0.013378685,2303.500000
0.013492063,-1828.500000
0.013605442,-729.000000
0.013718821,1911.000000
0.013832200,-1945.500000
0.013945578,-87.000000
0.014058957,2171.500000
0.014172336,-2114.000000
0.014285714,115.500000
0.014399093,1818.500000
0.014512472,-2113.000000
0.014625850,698.000000
0.014739229,1882.000000
0.014852608,-2270.000000
0.014965986,792.000000
0.015079365,1490.500000
0.015192744,-2307.000000
0.015306122,1426.500000
0.015419501,1486.500000
0.015532880,-1972.500000
0.015646259,1594.000000
0.015759637,950.500000
0.015873016,-2220.500000
0.015986395,1703.000000
0.016099773,847.500000
0.016213152,-1979.500000
0.016326531,1959.000000
0.016439909,395.000000
0.016553288,-2283.000000
0.016666667,1895.000000
0.016780045,-316.000000
0.016893424,-2115.500000
0.017006803,2134.500000
0.017120181,-190.000000
0.017233560,-1819.000000
0.017346939,2276.000000
0.017460317,-687.500000
0.017573696,-1676.000000
0.017687075,2497.000000
0.017800454,-653.500000
0.017913832,-1197.500000
0.018027211,2568.000000
0.018140590,-1216.000000
0.018253968,-1318.000000
0.018367347,2322.500000
0.018480726,-1492.000000
0.018594104,-732.000000
0.018707483,2399.500000
0.018820862,-1974.500000
0.018934240,-756.000000
0.019047619,2019.000000
0.019160998,-2052.500000
