key,value,unit
file_name,4_c_160_p.wav,
label,4_c_160_p,
file_path,/home/milsonson/ai转速/recordings/4_c_160_p.wav,
sample_rate,44100.000,Hz
analysis_sample_rate,8820.000,Hz
decimate_k,5,
decimate_ratio,0.200000,
channels,2,
sample_format,int16,
frames,735262,samples
duration,16.672608,s
center_duration,8.000000,s
export_slices,yes,
split_window_size,1.000000,s
split_hop_size,0.500000,s
split_window_count,15,
split_window_samples,8820,samples
analysis_frames,70560,samples
analysis_duration,8.000000,s
analysis_start_s,4.336281,s
analysis_end_s,12.336281,s
channel_mode,mean,
channel_selected,mean,
channel_rms,"3116.804,4552.914",
channel_corr_lr,-0.532,
mean_amplitude,-0.000076,
rms_amplitude,0.341363,
peak_amplitude,0.989268,
crest_factor,2.897993,
crest_factor_db,9.242,dB
dominant_freq,3000.000,Hz
spectral_centroid,2237.883,Hz
spectral_bandwidth,1135.521,Hz
inst_freq_mean,2991.020,Hz
inst_freq_median,2999.228,Hz
envelope_peak_freq,6.750,Hz
envelope_peak_period,0.148,s
envelope_peak_db,-18.627,dB
envelope_cutoff,20.000,Hz
envelope_max_freq,50.000,Hz
envelope_detrend_cutoff,1.000,Hz
envelope_detrend_applied,yes,
envelope_norm_mode,detrended-max,
envelope_norm_scale,2322.967285,
bandpass_enabled,yes,
