label,4_u1_160_p
time_s,envelope_detrended
0.000000000,-0.458864
0.000113379,-0.456715
0.000226757,-0.454561
0.000340136,-0.452404
0.000453515,-0.450242
0.000566893,-0.448076
0.000680272,-0.445906
0.000793651,-0.443732
0.000907029,-0.441553
0.001020408,-0.439370
0.001133787,-0.437183
0.001247166,-0.434991
0.001360544,-0.432795
0.001473923,-0.430595
0.001587302,-0.428389
0.001700680,-0.426179
0.001814059,-0.423965
0.001927438,-0.421746
0.002040816,-0.419522
0.002154195,-0.417293
0.002267574,-0.415059
0.002380952,-0.412821
0.002494331,-0.410578
0.002607710,-0.408329
0.002721088,-0.406076
0.002834467,-0.403818
0.002947846,-0.401554
0.003061224,-0.399286
0.003174603,-0.397013
0.003287982,-0.394734
0.003401361,-0.392450
0.003514739,-0.390161
0.003628118,-0.387867
0.003741497,-0.385567
0.003854875,-0.383263
0.003968254,-0.380953
0.004081633,-0.378638
0.004195011,-0.376317
0.004308390,-0.373991
0.004421769,-0.371659
0.004535147,-0.369322
0.004648526,-0.366979
0.004761905,-0.364631
0.004875283,-0.362277
0.004988662,-0.359918
0.005102041,-0.357552
0.005215420,-0.355182
0.005328798,-0.352805
0.005442177,-0.350423
0.005555556,-0.348035
0.005668934,-0.345641
0.005782313,-0.343241
0.005895692,-0.340835
0.006009070,-0.338424
0.006122449,-0.336006
0.006235828,-0.333583
0.006349206,-0.331154
0.006462585,-0.328718
0.006575964,-0.326276
0.006689342,-0.323829
0.006802721,-0.321375
0.006916100,-0.318915
0.007029478,-0.316450
0.007142857,-0.313978
0.007256236,-0.311500
0.007369615,-0.309015
0.007482993,-0.306525
0.007596372,-0.304028
0.007709751,-0.301526
0.007823129,-0.299017
0.007936508,-0.296503
0.008049887,-0.293982
0.008163265,-0.291455
0.008276644,-0.288922
0.008390023,-0.286383
0.008503401,-0.283838
0.008616780,-0.281287
0.008730159,-0.278731
0.008843537,-0.276168
0.008956916,-0.273599
0.009070295,-0.271025
0.009183673,-0.268445
0.009297052,-0.265859
0.009410431,-0.263267
0.009523810,-0.260670
0.009637188,-0.258066
0.009750567,-0.255457
0.009863946,-0.252843
0.009977324,-0.250223
0.010090703,-0.247597
0.010204082,-0.244965
0.010317460,-0.242328
0.010430839,-0.239685
0.010544218,-0.237037
0.010657596,-0.234383
0.010770975,-0.231724
0.010884354,-0.229059
0.010997732,-0.226389
0.011111111,-0.223714
0.011224490,-0.221032
0.011337868,-0.218346
0.011451247,-0.215654
0.011564626,-0.212956
0.011678005,-0.210253
0.011791383,-0.207545
0.011904762,-0.204831
0.012018141,-0.202113
0.012131519,-0.199388
0.012244898,-0.196659
0.012358277,-0.193924
0.012471655,-0.191184
0.012585034,-0.188439
0.012698413,-0.185689
0.012811791,-0.182933
0.012925170,-0.180173
0.013038549,-0.177407
0.013151927,-0.174636
0.013265306,-0.171861
0.013378685,-0.169080
0.013492063,-0.166295
0.013605442,-0.163505
0.013718821,-0.160710
0.013832200,-0.157910
0.013945578,-0.155106
0.014058957,-0.152297
0.014172336,-0.149483
0.014285714,-0.146665
0.014399093,-0.143843
0.014512472,-0.141016
0.014625850,-0.138185
0.014739229,-0.135350
0.014852608,-0.132511
0.014965986,-0.129667
0.015079365,-0.126819
0.015192744,-0.123967
0.015306122,-0.121111
0.015419501,-0.118251
0.015532880,-0.115386
0.015646259,-0.112518
0.015759637,-0.109646
0.015873016,-0.106770
0.015986395,-0.103890
0.016099773,-0.101006
0.016213152,-0.098118
0.016326531,-0.095227
0.016439909,-0.092331
0.016553288,-0.089431
0.016666667,-0.086528
0.016780045,-0.083620
0.016893424,-0.080708
0.017006803,-0.077793
0.017120181,-0.074874
0.017233560,-0.071950
0.017346939,-0.069023
0.017460317,-0.066092
0.017573696,-0.063157
0.017687075,-0.060218
0.017800454,-0.057275
0.017913832,-0.054328
0.018027211,-0.051377
0.018140590,-0.048422
0.018253968,-0.045464
0.018367347,-0.042502
0.018480726,-0.039536
0.018594104,-0.036566
0.018707483,-0.033592
0.018820862,-0.030615
0.018934240,-0.027633
0.019047619,-0.024648
0.019160998,-0.021660
0.019274376,-0.018667
0.019387755,-0.015671
0.019501134,-0.012671
0.019614512,-0.009668
0.019727891,-0.006660
0.019841270,-0.003649
0.019954649,-0.000635
0.020068027,0.002384
0.020181406,0.005406
0.020294785,0.008431
0.020408163,0.011461
0.020521542,0.014494
0.020634921,0.017531
0.020748299,0.020572
0.020861678,0.023617
0.020975057,0.026665
0.021088435,0.029718
0.021201814,0.032774
0.021315193,0.035834
0.021428571,0.038898
0.021541950,0.041967
0.021655329,0.045039
0.021768707,0.048115
0.021882086,0.051196
0.021995465,0.054280
0.022108844,0.057369
0.022222222,0.060462
0.022335601,0.063559
0.022448980,0.066661
0.022562358,0.069767
0.022675737,0.072877
0.022789116,0.075992
0.022902494,0.079111
0.023015873,0.082235
0.023129252,0.085364
0.023242630,0.088497
0.023356009,0.091634
0.023469388,0.094777
0.023582766,0.097924
0.023696145,0.101075
0.023809524,0.104232
0.023922902,0.107393
0.024036281,0.110559
0.024149660,0.113729
0.024263039,0.116905
0.024376417,0.120085
0.024489796,0.123269
0.024603175,0.126459
0.024716553,0.129653
0.024829932,0.132852
0.024943311,0.136055
0.025056689,0.139264
0.025170068,0.142476
0.025283447,0.145694
0.025396825,0.148916
0.025510204,0.152143
0.025623583,0.155374
0.025736961,0.158611
0.025850340,0.161851
0.025963719,0.165096
0.026077098,0.168346
0.026190476,0.171601
0.026303855,0.174860
0.026417234,0.178123
0.026530612,0.181392
0.026643991,0.184664
0.026757370,0.187941
0.026870748,0.191223
0.026984127,0.194509
0.027097506,0.197800
0.027210884,0.201095
0.027324263,0.204395
0.027437642,0.207698
0.027551020,0.211007
0.027664399,0.214320
0.027777778,0.217637
0.027891156,0.220959
0.028004535,0.224285
0.028117914,0.227616
0.028231293,0.230951
0.028344671,0.234290
0.028458050,0.237633
0.028571429,0.240981
0.028684807,0.244332
0.028798186,0.247688
0.028911565,0.251048
0.029024943,0.254412
0.029138322,0.257779
0.029251701,0.261151
0.029365079,0.264526
0.029478458,0.267905
0.029591837,0.271288
0.029705215,0.274673
0.029818594,0.278063
0.029931973,0.281456
0.030045351,0.284851
0.030158730,0.288250
0.030272109,0.291652
0.030385488,0.295057
0.030498866,0.298464
0.030612245,0.301874
0.030725624,0.305287
0.030839002,0.308702
0.030952381,0.312119
0.031065760,0.315538
0.031179138,0.318959
0.031292517,0.322382
0.031405896,0.325807
0.031519274,0.329233
0.031632653,0.332660
0.031746032,0.336090
0.031859410,0.339520
0.031972789,0.342951
0.032086168,0.346383
0.032199546,0.349816
0.032312925,0.353250
0.032426304,0.356684
0.032539683,0.360119
0.032653061,0.363554
0.032766440,0.366990
0.032879819,0.370425
0.032993197,0.373860
0.033106576,0.377295
0.033219955,0.380731
0.033333333,0.384165
0.033446712,0.387599
0.033560091,0.391033
0.033673469,0.394466
0.033786848,0.397898
0.033900227,0.401329
0.034013605,0.404758
0.034126984,0.408187
0.034240363,0.411614
0.034353741,0.415040
0.034467120,0.418464
0.034580499,0.421886
0.034693878,0.425306
0.034807256,0.428725
0.034920635,0.432141
0.035034014,0.435554
0.035147392,0.438965
0.035260771,0.442373
0.035374150,0.445778
0.035487528,0.449180
0.035600907,0.452579
0.035714286,0.455974
0.035827664,0.459366
0.035941043,0.462754
0.036054422,0.466138
0.036167800,0.469518
0.036281179,0.472894
0.036394558,0.476265
0.036507937,0.479631
0.036621315,0.482993
0.036734694,0.486349
0.036848073,0.489701
0.036961451,0.493047
0.037074830,0.496387
0.037188209,0.499722
0.037301587,0.503051
0.037414966,0.506373
0.037528345,0.509689
0.037641723,0.512999
0.037755102,0.516302
0.037868481,0.519599
0.037981859,0.522889
0.038095238,0.526172
0.038208617,0.529447
0.038321995,0.532715
0.038435374,0.535976
0.038548753,0.539229
0.038662132,0.542475
0.038775510,0.545712
0.038888889,0.548941
0.039002268,0.552162
0.039115646,0.555376
0.039229025,0.558580
0.039342404,0.561776
