label,4_u1_200_p(1)
time_s,envelope
0.000000000,0.680622
0.000113379,0.679704
0.000226757,0.678812
0.000340136,0.677947
0.000453515,0.677109
0.000566893,0.676299
0.000680272,0.675516
0.000793651,0.674759
0.000907029,0.674030
0.001020408,0.673329
0.001133787,0.672655
0.001247166,0.672008
0.001360544,0.671389
0.001473923,0.670797
0.001587302,0.670233
0.001700680,0.669697
0.001814059,0.669188
0.001927438,0.668706
0.002040816,0.668253
0.002154195,0.667826
0.002267574,0.667428
0.002380952,0.667057
0.002494331,0.666714
0.002607710,0.666398
0.002721088,0.666110
0.002834467,0.665850
0.002947846,0.665618
0.003061224,0.665413
0.003174603,0.665235
0.003287982,0.665086
0.003401361,0.664963
0.003514739,0.664869
0.003628118,0.664802
0.003741497,0.664762
0.003854875,0.664750
0.003968254,0.664765
0.004081633,0.664808
0.004195011,0.664878
0.004308390,0.664975
0.004421769,0.665100
0.004535147,0.665251
0.004648526,0.665430
0.004761905,0.665636
0.004875283,0.665869
0.004988662,0.666128
0.005102041,0.666415
0.005215420,0.666728
0.005328798,0.667067
0.005442177,0.667434
0.005555556,0.667826
0.005668934,0.668245
0.005782313,0.668690
0.005895692,0.669162
0.006009070,0.669659
0.006122449,0.670183
0.006235828,0.670732
0.006349206,0.671307
0.006462585,0.671908
0.006575964,0.672534
0.006689342,0.673186
0.006802721,0.673862
0.006916100,0.674564
0.007029478,0.675291
0.007142857,0.676043
0.007256236,0.676819
0.007369615,0.677620
0.007482993,0.678446
0.007596372,0.679295
0.007709751,0.680169
0.007823129,0.681067
0.007936508,0.681989
0.008049887,0.682934
0.008163265,0.683903
0.008276644,0.684895
0.008390023,0.685911
0.008503401,0.686949
0.008616780,0.688011
0.008730159,0.689095
0.008843537,0.690201
0.008956916,0.691330
0.009070295,0.692481
0.009183673,0.693654
0.009297052,0.694849
0.009410431,0.696066
0.009523810,0.697304
0.009637188,0.698563
0.009750567,0.699844
0.009863946,0.701145
0.009977324,0.702468
0.010090703,0.703810
0.010204082,0.705173
0.010317460,0.706557
0.010430839,0.707960
0.010544218,0.709383
0.010657596,0.710826
0.010770975,0.712288
0.010884354,0.713769
0.010997732,0.715270
0.011111111,0.716789
0.011224490,0.718327
0.011337868,0.719883
0.011451247,0.721457
0.011564626,0.723050
0.011678005,0.724660
0.011791383,0.726288
0.011904762,0.727933
0.012018141,0.729596
0.012131519,0.731275
0.012244898,0.732971
0.012358277,0.734684
0.012471655,0.736413
0.012585034,0.738158
0.012698413,0.739919
0.012811791,0.741695
