label,4_u1_200_p(1)
time_s,envelope_detrended
0.000000000,-0.065782
0.000113379,-0.068710
0.000226757,-0.071640
0.000340136,-0.074571
0.000453515,-0.077504
0.000566893,-0.080437
0.000680272,-0.083372
0.000793651,-0.086307
0.000907029,-0.089242
0.001020408,-0.092177
0.001133787,-0.095112
0.001247166,-0.098047
0.001360544,-0.100981
0.001473923,-0.103915
0.001587302,-0.106847
0.001700680,-0.109778
0.001814059,-0.112707
0.001927438,-0.115635
0.002040816,-0.118561
0.002154195,-0.121485
0.002267574,-0.124406
0.002380952,-0.127324
0.002494331,-0.130240
0.002607710,-0.133152
0.002721088,-0.136062
0.002834467,-0.138967
0.002947846,-0.141869
0.003061224,-0.144766
0.003174603,-0.147660
0.003287982,-0.150548
0.003401361,-0.153432
0.003514739,-0.156311
0.003628118,-0.159184
0.003741497,-0.162052
0.003854875,-0.164915
0.003968254,-0.167771
0.004081633,-0.170620
0.004195011,-0.173463
0.004308390,-0.176300
0.004421769,-0.179129
0.004535147,-0.181951
0.004648526,-0.184766
0.004761905,-0.187573
0.004875283,-0.190371
0.004988662,-0.193162
0.005102041,-0.195944
0.005215420,-0.198717
0.005328798,-0.201482
0.005442177,-0.204237
0.005555556,-0.206982
0.005668934,-0.209718
0.005782313,-0.212444
0.005895692,-0.215160
0.006009070,-0.217866
0.006122449,-0.220560
0.006235828,-0.223244
0.006349206,-0.225917
0.006462585,-0.228578
0.006575964,-0.231228
0.006689342,-0.233866
0.006802721,-0.236491
0.006916100,-0.239104
0.007029478,-0.241705
0.007142857,-0.244293
0.007256236,-0.246867
0.007369615,-0.249429
0.007482993,-0.251977
0.007596372,-0.254511
0.007709751,-0.257031
0.007823129,-0.259537
0.007936508,-0.262028
0.008049887,-0.264505
0.008163265,-0.266966
0.008276644,-0.269413
0.008390023,-0.271844
0.008503401,-0.274260
0.008616780,-0.276660
0.008730159,-0.279044
0.008843537,-0.281411
0.008956916,-0.283763
0.009070295,-0.286097
0.009183673,-0.288415
0.009297052,-0.290715
0.009410431,-0.292999
0.009523810,-0.295264
0.009637188,-0.297512
0.009750567,-0.299742
0.009863946,-0.301954
0.009977324,-0.304147
0.010090703,-0.306322
0.010204082,-0.308478
0.010317460,-0.310615
0.010430839,-0.312733
0.010544218,-0.314831
0.010657596,-0.316910
0.010770975,-0.318969
0.010884354,-0.321008
0.010997732,-0.323027
0.011111111,-0.325025
0.011224490,-0.327003
0.011337868,-0.328960
0.011451247,-0.330896
0.011564626,-0.332812
0.011678005,-0.334706
0.011791383,-0.336578
0.011904762,-0.338429
0.012018141,-0.340258
0.012131519,-0.342065
0.012244898,-0.343850
0.012358277,-0.345613
0.012471655,-0.347353
0.012585034,-0.349071
0.012698413,-0.350766
0.012811791,-0.352438
0.012925170,-0.354087
0.013038549,-0.355712
0.013151927,-0.357315
0.013265306,-0.358894
0.013378685,-0.360449
0.013492063,-0.361980
0.013605442,-0.363487
0.013718821,-0.364971
0.013832200,-0.366430
0.013945578,-0.367865
0.014058957,-0.369275
0.014172336,-0.370661
0.014285714,-0.372022
0.014399093,-0.373358
0.014512472,-0.374670
0.014625850,-0.375956
0.014739229,-0.377217
0.014852608,-0.378453
0.014965986,-0.379664
0.015079365,-0.380849
0.015192744,-0.382008
0.015306122,-0.383142
