key,value,unit
file_name,4_u1_200_p(1).wav,
label,4_u1_200_p(1),
file_path,/home/milsonson/ai转速/recordings/4_u1_200_p(1).wav,
sample_rate,44100.000,Hz
analysis_sample_rate,8820.000,Hz
decimate_k,5,
decimate_ratio,0.200000,
channels,2,
sample_format,int16,
frames,754990,samples
duration,17.119955,s
center_duration,8.000000,s
export_slices,yes,
split_window_size,1.000000,s
split_hop_size,0.500000,s
split_window_count,15,
split_window_samples,8820,samples
analysis_frames,70560,samples
analysis_duration,8.000000,s
analysis_start_s,4.559977,s
analysis_end_s,12.559977,s
channel_mode,mean,
channel_selected,mean,
channel_rms,"8369.122,9501.043",
channel_corr_lr,-0.918,
mean_amplitude,-0.000009,
rms_amplitude,0.053940,
peak_amplitude,0.379712,
crest_factor,7.039493,
crest_factor_db,16.951,dB
dominant_freq,3000.000,Hz
spectral_centroid,1334.830,Hz
spectral_bandwidth,1280.582,Hz
inst_freq_mean,2908.378,Hz
inst_freq_median,2996.478,Hz
envelope_peak_freq,9.250,Hz
envelope_peak_period,0.108,s
envelope_peak_db,-16.281,dB
envelope_cutoff,20.000,Hz
envelope_max_freq,50.000,Hz
envelope_detrend_cutoff,1.000,Hz
envelope_detrend_applied,yes,
envelope_norm_mode,detrended-max,
envelope_norm_scale,1851.450073,
bandpass_enabled,yes,
