time_s,trend
0.000000000,5.936500
0.000113379,5.936480
0.000226757,5.936460
0.000340136,5.936441
0.000453515,5.936421
0.000566893,5.936401
0.000680272,5.936381
0.000793651,5.936362
0.000907029,5.936342
0.001020408,5.936322
0.001133787,5.936301
0.001247166,5.936281
0.001360544,5.936261
0.001473923,5.936241
0.001587302,5.936221
0.001700680,5.936201
0.001814059,5.936181
0.001927438,5.936160
0.002040816,5.936140
0.002154195,5.936119
0.002267574,5.936099
0.002380952,5.936079
0.002494331,5.936058
0.002607710,5.936037
0.002721088,5.936016
0.002834467,5.935996
0.002947846,5.935975
0.003061224,5.935954
0.003174603,5.935933
0.003287982,5.935912
0.003401361,5.935891
0.003514739,5.935870
0.003628118,5.935849
0.003741497,5.935828
0.003854875,5.935807
0.003968254,5.935785
0.004081633,5.935764
0.004195011,5.935743
0.004308390,5.935721
0.004421769,5.935700
0.004535147,5.935678
0.004648526,5.935658
0.004761905,5.935636
0.004875283,5.935614
0.004988662,5.935593
0.005102041,5.935570
0.005215420,5.935549
0.005328798,5.935527
0.005442177,5.935505
0.005555556,5.935483
0.005668934,5.935461
0.005782313,5.935439
0.005895692,5.935417
0.006009070,5.935395
0.006122449,5.935373
0.006235828,5.935351
0.006349206,5.935328
0.006462585,5.935306
0.006575964,5.935284
0.006689342,5.935262
0.006802721,5.935239
0.006916100,5.935216
0.007029478,5.935194
0.007142857,5.935171
0.007256236,5.935149
0.007369615,5.935126
0.007482993,5.935103
0.007596372,5.935081
0.007709751,5.935058
0.007823129,5.935035
0.007936508,5.935012
0.008049887,5.934989
0.008163265,5.934966
0.008276644,5.934943
0.008390023,5.934920
0.008503401,5.934896
0.008616780,5.934873
0.008730159,5.934850
0.008843537,5.934826
0.008956916,5.934803
0.009070295,5.934780
0.009183673,5.934756
0.009297052,5.934732
0.009410431,5.934709
0.009523810,5.934685
0.009637188,5.934661
0.009750567,5.934638
0.009863946,5.934614
0.009977324,5.934590
0.010090703,5.934566
0.010204082,5.934542
0.010317460,5.934518
0.010430839,5.934494
0.010544218,5.934470
0.010657596,5.934446
0.010770975,5.934422
0.010884354,5.934398
0.010997732,5.934373
0.011111111,5.934349
0.011224490,5.934325
0.011337868,5.934300
0.011451247,5.934276
0.011564626,5.934251
0.011678005,5.934227
0.011791383,5.934202
0.011904762,5.934177
0.012018141,5.934153
0.012131519,5.934127
0.012244898,5.934103
0.012358277,5.934078
0.012471655,5.934053
0.012585034,5.934028
0.012698413,5.934003
0.012811791,5.933978
0.012925170,5.933952
0.013038549,5.933927
0.013151927,5.933901
0.013265306,5.933877
0.013378685,5.933851
0.013492063,5.933825
0.013605442,5.933800
0.013718821,5.933774
0.013832200,5.933749
0.013945578,5.933723
0.014058957,5.933698
0.014172336,5.933672
0.014285714,5.933646
0.014399093,5.933620
0.014512472,5.933594
0.014625850,5.933568
0.014739229,5.933542
0.014852608,5.933517
0.014965986,5.933490
0.015079365,5.933464
0.015192744,5.933438
0.015306122,5.933412
0.015419501,5.933385
0.015532880,5.933359
0.015646259,5.933332
0.015759637,5.933306
0.015873016,5.933280
0.015986395,5.933253
0.016099773,5.933226
0.016213152,5.933199
0.016326531,5.933173
0.016439909,5.933146
0.016553288,5.933119
0.016666667,5.933092
0.016780045,5.933065
0.016893424,5.933038
0.017006803,5.933011
0.017120181,5.932984
0.017233560,5.932957
0.017346939,5.932930
0.017460317,5.932902
0.017573696,5.932875
0.017687075,5.932847
0.017800454,5.932820
0.017913832,5.932793
0.018027211,5.932765
0.018140590,5.932737
0.018253968,5.932710
0.018367347,5.932683
0.018480726,5.932654
0.018594104,5.932627
0.018707483,5.932599
0.018820862,5.932571
0.018934240,5.932543
0.019047619,5.932515
0.019160998,5.932487
0.019274376,5.932459
0.019387755,5.932431
0.019501134,5.932402
0.019614512,5.932374
0.019727891,5.932346
0.019841270,5.932317
0.019954649,5.932289
0.020068027,5.932260
0.020181406,5.932231
0.020294785,5.932203
0.020408163,5.932174
0.020521542,5.932146
0.020634921,5.932117
0.020748299,5.932088
0.020861678,5.932059
0.020975057,5.932030
0.021088435,5.932001
0.021201814,5.931972
0.021315193,5.931943
0.021428571,5.931914
0.021541950,5.931884
0.021655329,5.931856
0.021768707,5.931826
0.021882086,5.931797
0.021995465,5.931767
0.022108844,5.931738
0.022222222,5.931708
0.022335601,5.931678
0.022448980,5.931649
0.022562358,5.931619
0.022675737,5.931590
0.022789116,5.931560
0.022902494,5.931530
0.023015873,5.931499
0.023129252,5.931470
0.023242630,5.931440
0.023356009,5.931410
0.023469388,5.931380
0.023582766,5.931349
0.023696145,5.931319
0.023809524,5.931289
0.023922902,5.931259
0.024036281,5.931228
0.024149660,5.931198
0.024263039,5.931167
0.024376417,5.931137
0.024489796,5.931106
0.024603175,5.931075
0.024716553,5.931044
0.024829932,5.931014
0.024943311,5.930983
0.025056689,5.930952
0.025170068,5.930921
0.025283447,5.930890
0.025396825,5.930859
0.025510204,5.930827
0.025623583,5.930796
0.025736961,5.930765
0.025850340,5.930734
0.025963719,5.930702
0.026077098,5.930671
0.026190476,5.930639
0.026303855,5.930608
0.026417234,5.930576
0.026530612,5.930544
0.026643991,5.930513
0.026757370,5.930481
0.026870748,5.930449
0.026984127,5.930417
0.027097506,5.930386
0.027210884,5.930353
0.027324263,5.930321
0.027437642,5.930289
0.027551020,5.930257
0.027664399,5.930225
0.027777778,5.930192
0.027891156,5.930160
0.028004535,5.930128
0.028117914,5.930095
