time_s,envelope_detrended
0.000000000,0.225025
0.000113379,0.224349
0.000226757,0.223686
0.000340136,0.223037
0.000453515,0.222402
0.000566893,0.221781
0.000680272,0.221174
0.000793651,0.220583
0.000907029,0.220007
0.001020408,0.219446
0.001133787,0.218902
0.001247166,0.218373
0.001360544,0.217862
0.001473923,0.217368
0.001587302,0.216890
0.001700680,0.216430
0.001814059,0.215988
0.001927438,0.215563
0.002040816,0.215157
0.002154195,0.214768
0.002267574,0.214397
0.002380952,0.214045
0.002494331,0.213712
0.002607710,0.213397
0.002721088,0.213100
0.002834467,0.212823
0.002947846,0.212564
0.003061224,0.212323
0.003174603,0.212101
0.003287982,0.211898
0.003401361,0.211713
0.003514739,0.211547
0.003628118,0.211400
0.003741497,0.211270
0.003854875,0.211159
0.003968254,0.211067
0.004081633,0.210992
0.004195011,0.210935
0.004308390,0.210896
0.004421769,0.210875
0.004535147,0.210872
0.004648526,0.210886
0.004761905,0.210917
0.004875283,0.210966
0.004988662,0.211031
0.005102041,0.211112
0.005215420,0.211210
0.005328798,0.211325
0.005442177,0.211455
0.005555556,0.211600
0.005668934,0.211761
0.005782313,0.211937
0.005895692,0.212128
0.006009070,0.212333
0.006122449,0.212552
0.006235828,0.212785
0.006349206,0.213031
0.006462585,0.213290
0.006575964,0.213561
0.006689342,0.213845
0.006802721,0.214140
0.006916100,0.214447
0.007029478,0.214765
0.007142857,0.215094
0.007256236,0.215432
0.007369615,0.215780
0.007482993,0.216138
0.007596372,0.216505
0.007709751,0.216880
0.007823129,0.217264
0.007936508,0.217655
0.008049887,0.218053
0.008163265,0.218458
0.008276644,0.218870
0.008390023,0.219286
0.008503401,0.219709
0.008616780,0.220136
0.008730159,0.220568
0.008843537,0.221004
0.008956916,0.221443
0.009070295,0.221886
0.009183673,0.222330
0.009297052,0.222777
0.009410431,0.223225
0.009523810,0.223674
0.009637188,0.224124
0.009750567,0.224573
0.009863946,0.225023
0.009977324,0.225471
0.010090703,0.225918
0.010204082,0.226362
0.010317460,0.226804
0.010430839,0.227243
0.010544218,0.227679
0.010657596,0.228110
0.010770975,0.228537
0.010884354,0.228957
0.010997732,0.229373
0.011111111,0.229783
0.011224490,0.230186
0.011337868,0.230581
0.011451247,0.230969
0.011564626,0.231349
0.011678005,0.231719
0.011791383,0.232080
0.011904762,0.232432
0.012018141,0.232773
0.012131519,0.233103
0.012244898,0.233422
0.012358277,0.233729
0.012471655,0.234024
0.012585034,0.234305
0.012698413,0.234573
0.012811791,0.234828
0.012925170,0.235067
0.013038549,0.235292
0.013151927,0.235501
0.013265306,0.235694
0.013378685,0.235871
0.013492063,0.236031
0.013605442,0.236173
0.013718821,0.236297
0.013832200,0.236403
0.013945578,0.236489
0.014058957,0.236556
0.014172336,0.236603
0.014285714,0.236629
0.014399093,0.236634
0.014512472,0.236618
0.014625850,0.236580
0.014739229,0.236519
0.014852608,0.236436
0.014965986,0.236329
0.015079365,0.236199
0.015192744,0.236044
0.015306122,0.235865
0.015419501,0.235660
0.015532880,0.235430
0.015646259,0.235174
0.015759637,0.234891
0.015873016,0.234582
0.015986395,0.234246
0.016099773,0.233882
0.016213152,0.233490
0.016326531,0.233069
0.016439909,0.232620
0.016553288,0.232141
0.016666667,0.231633
0.016780045,0.231095
0.016893424,0.230526
0.017006803,0.229927
0.017120181,0.229297
0.017233560,0.228636
0.017346939,0.227942
0.017460317,0.227217
0.017573696,0.226459
0.017687075,0.225669
0.017800454,0.224844
0.017913832,0.223987
0.018027211,0.223096
0.018140590,0.222171
0.018253968,0.221211
0.018367347,0.220217
0.018480726,0.219187
0.018594104,0.218122
0.018707483,0.217021
0.018820862,0.215884
0.018934240,0.214710
0.019047619,0.213500
0.019160998,0.212253
0.019274376,0.210969
0.019387755,0.209648
0.019501134,0.208288
0.019614512,0.206891
0.019727891,0.205455
0.019841270,0.203982
0.019954649,0.202469
0.020068027,0.200918
0.020181406,0.199328
0.020294785,0.197698
0.020408163,0.196030
0.020521542,0.194321
0.020634921,0.192573
0.020748299,0.190784
0.020861678,0.188956
0.020975057,0.187087
0.021088435,0.185178
0.021201814,0.183228
0.021315193,0.181237
0.021428571,0.179205
0.021541950,0.177132
0.021655329,0.175018
0.021768707,0.172861
0.021882086,0.170664
0.021995465,0.168426
0.022108844,0.166145
0.022222222,0.163822
0.022335601,0.161457
0.022448980,0.159050
0.022562358,0.156602
0.022675737,0.154110
0.022789116,0.151576
0.022902494,0.149000
0.023015873,0.146381
0.023129252,0.143719
0.023242630,0.141015
0.023356009,0.138267
0.023469388,0.135477
0.023582766,0.132645
0.023696145,0.129769
0.023809524,0.126850
0.023922902,0.123888
0.024036281,0.120884
0.024149660,0.117836
0.024263039,0.114746
0.024376417,0.111613
0.024489796,0.108437
0.024603175,0.105219
0.024716553,0.101958
0.024829932,0.098654
0.024943311,0.095308
0.025056689,0.091920
0.025170068,0.088490
0.025283447,0.085017
0.025396825,0.081503
0.025510204,0.077947
0.025623583,0.074349
0.025736961,0.070709
0.025850340,0.067028
0.025963719,0.063306
0.026077098,0.059542
0.026190476,0.055738
0.026303855,0.051893
0.026417234,0.048007
0.026530612,0.044081
0.026643991,0.040115
0.026757370,0.036110
0.026870748,0.032064
0.026984127,0.027979
0.027097506,0.023855
0.027210884,0.019692
0.027324263,0.015491
0.027437642,0.011251
0.027551020,0.006973
0.027664399,0.002658
0.027777778,-0.001695
0.027891156,-0.006084
0.028004535,-0.010511
0.028117914,-0.014974
0.028231293,-0.019473
0.028344671,-0.024008
0.028458050,-0.028578
0.028571429,-0.033184
0.028684807,-0.037823
0.028798186,-0.042498
0.028911565,-0.047206
0.029024943,-0.051948
0.029138322,-0.056724
0.029251701,-0.061532
0.029365079,-0.066372
0.029478458,-0.071244
0.029591837,-0.076148
0.029705215,-0.081083
0.029818594,-0.086049
0.029931973,-0.091045
0.030045351,-0.096070
0.030158730,-0.101125
0.030272109,-0.106208
0.030385488,-0.111319
0.030498866,-0.116459
0.030612245,-0.121626
0.030725624,-0.126819
0.030839002,-0.132039
0.030952381,-0.137284
0.031065760,-0.142555
0.031179138,-0.147851
0.031292517,-0.153171
0.031405896,-0.158514
0.031519274,-0.163881
0.031632653,-0.169270
0.031746032,-0.174682
0.031859410,-0.180115
0.031972789,-0.185569
0.032086168,-0.191043
0.032199546,-0.196538
0.032312925,-0.202051
0.032426304,-0.207583
0.032539683,-0.213133
0.032653061,-0.218701
0.032766440,-0.224286
0.032879819,-0.229886
0.032993197,-0.235503
0.033106576,-0.241134
0.033219955,-0.246780
0.033333333,-0.252440
0.033446712,-0.258113
0.033560091,-0.263799
0.033673469,-0.269498
0.033786848,-0.275207
0.033900227,-0.280928
0.034013605,-0.286659
0.034126984,-0.292399
0.034240363,-0.298149
0.034353741,-0.303907
0.034467120,-0.309673
0.034580499,-0.315447
0.034693878,-0.321227
0.034807256,-0.327014
0.034920635,-0.332806
0.035034014,-0.338604
0.035147392,-0.344406
0.035260771,-0.350211
0.035374150,-0.356020
0.035487528,-0.361832
0.035600907,-0.367645
0.035714286,-0.373460
0.035827664,-0.379276
0.035941043,-0.385093
0.036054422,-0.390909
0.036167800,-0.396724
0.036281179,-0.402538
0.036394558,-0.408350
0.036507937,-0.414160
0.036621315,-0.419966
0.036734694,-0.425769
0.036848073,-0.431567
0.036961451,-0.437360
0.037074830,-0.443148
0.037188209,-0.448930
0.037301587,-0.454705
0.037414966,-0.460473
0.037528345,-0.466233
0.037641723,-0.471984
0.037755102,-0.477727
0.037868481,-0.483460
0.037981859,-0.489183
0.038095238,-0.494895
0.038208617,-0.500595
0.038321995,-0.506284
0.038435374,-0.511961
0.038548753,-0.517624
0.038662132,-0.523275
0.038775510,-0.528911
0.038888889,-0.534533
0.039002268,-0.540139
0.039115646,-0.545730
0.039229025,-0.551306
0.039342404,-0.556864
0.039455782,-0.562406
0.039569161,-0.567929
0.039682540,-0.573435
0.039795918,-0.578922
0.039909297,-0.584390
0.040022676,-0.589839
0.040136054,-0.595267
0.040249433,-0.600675
0.040362812,-0.606062
0.040476190,-0.611427
0.040589569,-0.616771
0.040702948,-0.622092
0.040816327,-0.627390
0.040929705,-0.632665
0.041043084,-0.637916
0.041156463,-0.643143
0.041269841,-0.648345
0.041383220,-0.653522
0.041496599,-0.658673
0.041609977,-0.663799
0.041723356,-0.668898
0.041836735,-0.673970
0.041950113,-0.679014
0.042063492,-0.684031
0.042176871,-0.689020
0.042290249,-0.693980
0.042403628,-0.698912
0.042517007,-0.703813
0.042630385,-0.708685
0.042743764,-0.713527
0.042857143,-0.718338
0.042970522,-0.723118
0.043083900,-0.727867
0.043197279,-0.732584
0.043310658,-0.737268
0.043424036,-0.741920
0.043537415,-0.746539
0.043650794,-0.751125
0.043764172,-0.755678
0.043877551,-0.760196
0.043990930,-0.764680
0.044104308,-0.769130
0.044217687,-0.773545
0.044331066,-0.777924
0.044444444,-0.782267
0.044557823,-0.786574
0.044671202,-0.790846
0.044784580,-0.795079
0.044897959,-0.799276
0.045011338,-0.803436
0.045124717,-0.807558
0.045238095,-0.811641
0.045351474,-0.815687
0.045464853,-0.819693
0.045578231,-0.823660
0.045691610,-0.827588
0.045804989,-0.831476
0.045918367,-0.835325
0.046031746,-0.839133
0.046145125,-0.842900
0.046258503,-0.846627
0.046371882,-0.850313
0.046485261,-0.853957
0.046598639,-0.857560
0.046712018,-0.861121
0.046825397,-0.864640
0.046938776,-0.868116
0.047052154,-0.871550
0.047165533,-0.874941
0.047278912,-0.878288
0.047392290,-0.881593
0.047505669,-0.884853
0.047619048,-0.888070
0.047732426,-0.891242
0.047845805,-0.894369
0.047959184,-0.897452
0.048072562,-0.900490
0.048185941,-0.903482
0.048299320,-0.906429
0.048412698,-0.909330
0.048526077,-0.912185
0.048639456,-0.914994
0.048752834,-0.917757
0.048866213,-0.920472
0.048979592,-0.923141
0.049092971,-0.925763
0.049206349,-0.928338
0.049319728,-0.930866
0.049433107,-0.933346
0.049546485,-0.935777
0.049659864,-0.938161
0.049773243,-0.940497
0.049886621,-0.942784
0.050000000,-0.945023
0.050113379,-0.947213
0.050226757,-0.949354
0.050340136,-0.951445
0.050453515,-0.953488
0.050566893,-0.955481
0.050680272,-0.957425
0.050793651,-0.959319
0.050907029,-0.961163
0.051020408,-0.962957
0.051133787,-0.964701
0.051247166,-0.966395
0.051360544,-0.968038
0.051473923,-0.969630
0.051587302,-0.971172
0.051700680,-0.972664
0.051814059,-0.974104
0.051927438,-0.975493
